employee_id,jmeno,prijmeni,email,oddeleni,pozice,datum_nastupu,plat,hodnoceni_vykonu,vzdelani,mesto,vek,pohlavi,typ_uvazku,telefon
641,Klára,Konečná ,klara.konecna@datacorp.cz,Finance,Auditor,04.03.2019,57500.0,3,SŠ,Brno,36,Ž,Plný,+420 672 921 712
644,Alena,Fialová,alena.fialova@datacorp.cz,Finance,Controller,2023-03-18,64500.0,3,SŠ,Praha,27,Ž,Plný,+420 691 202 891
697,Anna,Malá,anna.mala@datacorp.cz,Finance,Finanční analytik,27.09.2021,55000.0,3,SŠ,Brno,37,Ž,Plný,671 816 950
525,Tereza,Kolářová,tereza.kolarova@datacorp.cz,HR,Payroll Specialist,2021-10-05,54000.0,3,VŠ Mgr.,Ostrava,32,Ž,Plný,+420 793 724 301
537,Tomáš,Horák,tomas.horak@datacorp.cz,HR,HR Specialist,2025-02-25,49500.0,5,SŠ,Liberec,30,M,DPP,+420 745 437 485
699,Radek,Vaněk,radek.vanek@datacorp.cz,Finance,Auditor,2017-12-11,72500.0,3,VŠ Mgr.,Zlín,37,M,Plný,+420 715 171 274
832,Marek,Kolář,marek.kolar@datacorp.cz,Podpora,Help Desk Specialist,2023-12-18,,2,VŠ Bc.,Pardubice,22,M,Plný,+420 729 730 420
541,Anna, Pokorná ,anna.pokorna@datacorp.cz,HR,Recruiter,2022-08-30,42500.0,2,VŠ Bc.,Zlín,27,Ž,Plný,+420 773 264 245
328,Martina,Doležalová,martina.dolezalova@datacorp.cz,Marketing,Brand Manager,2020-08-19,50000.0,4,VŠ Bc.,Ostrava,28,Ž,Plný,+420 743 880 265
70,Tomáš,Doležal,tomas.dolezal@datacorp.cz,Vývoj,QA Engineer,25.05.2021,80500.0,3,VŠ Mgr.,Praha,31,M,Plný,+420 710 993 620
289,Kristýna,Holubová,petra.svobodova@datacorp.cz,Marketing,Brand Manager,2024-05-15,49000.0,4,VŠ Mgr.,Brno,27,Ž,Plný,+420 706 958 194
498,Klára,Doležalová,klara.dolezalova@datacorp.cz,Obchod,Obchodní zástupce,2023-01-13,56000.0,4,SŠ,Brno,27,Ž,Plný,
827,Karel,Čermák,karel.cermak@datacorp.cz,Podpora,Zákaznická podpora,2023-08-06,32500.0,2,VŠ Bc.,Olomouc,27,M,Plný,+420 756 984 158
252,Michal,Navrátil,michal.navratil@datacorp.cz,Marketing,Content Manager,2020-10-08,64000.0,3,VŠ Mgr.,Brno,34,M,Plný,+420 768 469 686
846,Tomáš,Svoboda,tomas.svoboda@datacorp.cz,Podpora,Zákaznická podpora,30.10.2023,38000.0,3,SŠ,Ostrava,29,M,Plný,734 291 226
556,David,Kříž,david.kriz@datacorp.cz,HR,HR Specialist,2023-05-20,239863.0,5,SŠ,Praha,25,M,Plný,669 872 241
654,Karel,Malý,karel.maly@datacorp.cz,Finance,Controller,2019-02-01,63500.0,4,VŠ Mgr.,Brno,31,M,Plný,+420 767 203 889
503,Marek,Fiala,marek.fiala@datacorp.cz,Obchod,Business Development,2020-05-13,82000.0,4,VŠ Mgr.,Plzeň,30,M,DPP,+420 792 717 676
444,Anna,Nováková,anna.novakova@datacorp.cz,Obchod,Business Development,2023-04-25,72500.0,3,VŠ Mgr.,Praha,31,Ž,Částečný,790 786 215
102,Jana,Procházková,jana.prochazkova@datacorp.cz,Vývoj,Tech Lead,2025-04-26,88500.0,3,VŠ Mgr.,České Budějovice,23,Ž,Plný,+420 665 777 281
940, Kristýna ,Čechová,kristyna.cechova@datacorp.cz,Podpora,Support Team Lead,2024-05-24,37500.0,3,VŠ Bc.,Praha,26,Ž,Plný,+420 691 373 525
720,Klára,Horáková,klara.horakova@datacorp.cz,Finance,Finanční analytik,2022-10-15,81000.0,3,VŠ Mgr.,Olomouc,28,Ž,Plný,+420 710 978 909
216,Jan,Zeman,jan.zeman@datacorp.cz,marketing,Content Manager,2024-11-21,45000.0,2,VŠ Mgr.,Liberec,28,M,Plný,+420 602 760 909
476,Marie,Čermáková,marie.cermakova@datacorp.cz,Obchod,Sales Manager,2020-11-09,73000.0,5,SŠ,Plzeň,28,Ž,Plný,+420 670 780 303
606,Nikola, Dvořáková ,nikola.dvorakova@datacorp.cz,HR,Recruiter,2023-03-02,50000.0,4,VŠ Mgr.,Plzeň,24,Ž,Plný,736387494
535,Lukáš,Beneš,lukas.benes@datacorp.cz,HR,Recruiter,2024-04-22,50000.0,4,SŠ,Praha,24,M,Plný,620829210
819,Martina,Štěpánková,martina.stepankova@datacorp.cz,Podpora,Support Team Lead,2022-12-31,,4,VŠ Mgr.,Hradec Králové,26,Ž,Částečný,+420 660 885 325
536,Adam,Kolář,adam.kolar@datacorp.cz,HR,Recruiter,2024-02-28,45500.0,4,VŠ Bc.,Olomouc,23,M,Plný,616718820
913,Adam,Černý,adam.cerny@datacorp.cz,Podpora,Help Desk Specialist,2022-06-01,41000.0,4,VŠ Mgr.,České Budějovice,30,M,Plný,+420 654 624 881
901,Nikola,Urbanová,nikola.urbanova@datacorp.cz,Podpora,Technická podpora,2023-10-10,38000.0,2,SŠ,Zlín,33,Ž,Částečný,+420 692 843 894
475,Klára,Kučerová,klara.kucerova@datacorp.cz,Obchod,Obchodní zástupce,2021-01-09,53000.0,2,VŠ Mgr.,Praha,33,Ž,Plný,+420 686 378 380
954,Filip,Holub,filip.holub@datacorp.cz,Podpora,Technická podpora,2022-10-31,57000.0,2,VŠ Mgr.,České Budějovice,27,M,Plný,+420 684 138 381
97,Anna,Králová,anna.kralova@datacorp.cz,Vývoj,Data Engineer,2023-03-31,75000.0,4,VŠ Mgr.,Liberec,30,Ž,Plný,+420 613 629 811
607,Anna,Veselá,anna.vesela@datacorp.cz,HR,Payroll Specialist,2022-06-03,52000.0,5,VŠ Bc.,Praha,28,Ž,Plný,+420 696 457 184
924,Jana,Navrátilová,jana.navratilova@datacorp.cz,Podpora,Support Team Lead,2023-11-13,27000.0,3,VŠ Bc.,Brno,25,Ž,Plný,745694269
77,Daniel,Beneš,daniel.benes@datacorp.cz,Vývoj,Tech Lead,2019-08-09,86000.0,4,VŠ Mgr.,Praha,32,M,DPP,667754319
716,Nikola,Čechová,nikola.cechova@datacorp.cz,Finance,Finanční analytik,2016-05-20,61500.0,4,VŠ PhD.,České Budějovice,35,Ž,Plný,+420 788 620 936
212,Radek,Štěpánek,radek.stepanek@datacorp.cz,Marketing,Marketingový specialista,2022-12-12,68500.0,3,VŠ Mgr.,Praha,31,M,Částečný,752 211 188
264,Radek,Kříž,radek.kriz@datacorp.cz,marketing,Brand Manager,2021-01-27,54500.0,3,VŠ Mgr.,Zlín,34,M,Plný,+420 723 846 676
159,Markéta,Kopecká,marketa.kopecka@datacorp.cz,Vývoj,Data Engineer,2022-04-28,94500.0,4,VŠ Mgr.,Zlín,30,Ž,Plný,698 677 641
507,Kristýna,Urbanová,kristyna.urbanova@datacorp.cz,Obchod,Account Manager,2022-02-07,79500.0,4,SŠ,Praha,30,Ž,Plný,+420 736 172 322
360,Matěj,Vaněk,matej.vanek@datacorp.cz,Obchod,Sales Manager,2023-01-12,57500.0,5,SŠ,Hradec Králové,25,M,Plný,+420 782 792 453
338,Matěj,Černý,matej.cerny@datacorp.cz,Marketing,Marketingový specialista,2020-05-04,63000.0,3,VŠ Mgr.,Olomouc,32,M,Plný,+420 726 791 475
247,Lenka,Králová,lenka.kralova@datacorp.cz,Marketing,SEO Specialist,2023-09-01,57000.0,4,VŠ Bc.,Pardubice,22,Ž,Plný,+420 633 280 885
332,Jakub,Horák,jakub.horak@datacorp.cz,Marketing,Brand Manager,2022-05-25,52000.0,3,VŠ Bc.,Ostrava,31,M,Plný,726518435
300,Simona,Černá,simona.cerna@datacorp.cz,Marketing,Brand Manager,2020-10-15,46500.0,5,SŠ,Praha,35,Ž,Plný,+420 615 722 530
835,Radek,Blažek,radek.blazek@datacorp.cz,Podpora,Zákaznická podpora,2023-12-03,41000.0,3,VŠ Mgr.,Zlín,26,M,Plný,679368537
594,Vojtěch,Sedláček,vojtech.sedlacek@datacorp.cz,HR,HR Manager,12.07.2020,42500.0,3,SŠ,Pardubice,34,M,Plný,+420 719 454 398
586,Marie,Čermáková,marie.cermakova@datacorp.cz,HR,Payroll Specialist,2025-01-10,42500.0,3,VŠ Mgr.,Zlín,23,Ž,Plný,+420 783 767 694
893,Vojtěch,Malý,vojtech.maly@datacorp.cz,Podpora,Support Team Lead,10.11.2022,30000.0,4,SŠ,Praha,28,M,Plný,+420 723 742 439
854,David,Kučera,david.kucera@datacorp.cz,Podpora,Zákaznická podpora,2023-08-24,46000.0,3,VŠ Mgr.,Praha,31,M,Plný,+420 640 143 864
295,Marie,Marková,marie.markova@datacorp.cz,marketing,SEO Specialist,2022-04-05,57000.0,4,VŠ Mgr.,Praha,25,Ž,Plný,+420 620 506 704
59,Eva,Sedláčková,eva.sedlackova@datacorp.cz,Vývoj,Software Developer,2023-02-27,55500.0,3,VŠ Mgr.,Plzeň,29,Ž,Plný,+420 708 412 907
639,Monika,Zemanová,monika.zemanova@datacorp.cz,Finance,Účetní,2018-10-19,88000.0,4,VŠ Mgr.,Ostrava,30,Ž,DPP,+420 628 891 106
604,Pavel,Dvořák,pavel.dvorak@datacorp.cz,HR,HR Manager,2019-06-07,68000.0,4,SŠ,Liberec,30,M,DPP,+420 640 412 996
337,Kateřina,Němcová,katerina.nemcova@datacorp.cz,Marketing,Marketingový specialista,2023-09-17,51000.0,3,SŠ,Hradec Králové,31,Ž,Částečný,+420 725 330 818
717,Markéta,Holubová,marketa.holubova@datacorp.cz,Finance,Auditor,11.03.2024,59500.0,3,VŠ Mgr.,Pardubice,31,Ž,Plný,780270841
54,Lukáš,Štěpánek,lukas.stepanek@datacorp.cz,Vývoj,QA Engineer,22.05.2020,65000.0,3,SŠ,Pardubice,29,M,Plný,+420 647 133 149
23,Nikola,Procházková,nikola.prochazkova@datacorp.cz,Vývoj,QA Engineer,2021-09-08,67500.0,4,SŠ,Hradec Králové,25,Ž,Plný,610564712
30,Karel,Blažek,karel.blazek@datacorp.cz,Vývoj,Software Developer,2023-06-13,78500.0,4,VŠ Mgr.,Liberec,29,M,Plný,+420 735 570 754
355,Vojtěch,Kučera,vojtech.kucera@datacorp.cz,Obchod,Obchodní zástupce,2025-04-26,43500.0,3,SŠ,Zlín,26,M,Plný,+420 684 608 327
440,Petra,Horáková,petra.horakova@datacorp.cz,Obchod,Account Manager,2023-06-27,77500.0,3,SŠ,Hradec Králové,29,Ž,Plný,697 419 695
10,Lenka,Kopecká,lenka.kopecka@datacorp.cz,Vývoj,DevOps Engineer,11.04.2021,98500.0,3,VŠ Mgr.,Praha,29,Ž,Plný,+420 757 137 261
668,Anna,Dvořáková,anna.dvorakova@datacorp.cz,Finance,Finanční analytik,2021-01-22,79500.0,4,VŠ Mgr.,Praha,28,Ž,Plný,789 293 423
976,Petra,Marková,petra.markova@datacorp.cz,Podpora,Zákaznická podpora,2023-07-17,27500.0,1,SŠ,Brno,24,Ž,Plný,+420 779 802 743
708,Veronika,Němcová,marek.benes@datacorp.cz,Finance,Auditor,2018-08-14,86500.0,4,VŠ Bc.,České Budějovice,32,Ž,DPP,773 632 114
456,Jakub,Černý,jakub.cerny@datacorp.cz,Obchod,Business Development,2023-09-26,68000.0,3,VŠ Mgr.,Praha,24,M,Plný,+420 720 103 115
202,Karel,Čech,karel.cech@datacorp.cz,Marketing,SEO Specialist,2022-07-19,50000.0,4,VŠ Mgr.,Ostrava,32,M,Plný,726908656
996,Lucie,Horáková,lucie.horakova@datacorp.cz,Podpora,Zákaznická podpora,2025-04-26,37000.0,4,VŠ Mgr.,Praha,36,Ž,Plný,+420 701 781 830
394,Daniel,Kolář,daniel.kolar@datacorp.cz,Obchod,Account Manager,2020-12-26,61000.0,2,VŠ Bc.,Praha,30,M,Plný,746 478 688
108,Petra,Navrátilová,petra.navratilova@datacorp.cz,Vývoj,DevOps Engineer,2018-06-15,87500.0,4,VŠ Mgr.,Pardubice,29,Ž,Plný,+420 668 424 319
221,Lenka,Konečná,lenka.konecna@datacorp.cz,Marketing,Marketingový specialista,2027-06-15,43500.0,2,VŠ Mgr.,Zlín,22,Ž,Plný,+420 643 458 606
431,Josef,Zeman,josef.zeman@datacorp.cz,Obchod,Sales Manager,2021-04-04,80500.0,4,VŠ Mgr.,Zlín,27,M,Plný,798352525
177,Kateřina,Navrátilová,katerina.navratilova@datacorp.cz,Vývoj,DevOps Engineer,2024-02-06,69500.0,4,VŠ Bc.,Brno,31,Ž,Plný,691 788 829
914,Kristýna,Veselá,kristyna.vesela@datacorp.cz,Podpora,Support Team Lead,25.04.2024,43500.0,5,VŠ Mgr.,Praha,30,Ž,Plný,+420 740 151 123
532,Anna,Holubová,anna.holubova@datacorp.cz,HR,Payroll Specialist,2022-05-19,58500.0,4,VŠ Bc.,Brno,29,Ž,Plný,+420 690 775 801
744,Klára,Hájková,klara.hajkova@datacorp.cz,Finance,Auditor,2020-06-16,58000.0,4,VŠ Mgr.,Pardubice,33,Ž,Plný,+420 772 214 490
948,Josef,Kučera,josef.kucera@datacorp.cz,Podpora,Support Team Lead,2022-05-17,36000.0,2,SŠ,Ostrava,30,M,Plný,+420 766 896 863
39,Barbora,Novotná,barbora.novotna@datacorp.cz,Vývoj,DevOps Engineer,2027-06-15,75000.0,3,VŠ Mgr.,Brno,31,Ž,Plný,+420 796 588 805
563,Lucie,Konečná,lucie.konecna@datacorp.cz,HR,Payroll Specialist,2022-11-13,55000.0,3,VŠ PhD.,Brno,29,Ž,Plný,+420 675 641 159
472,Adam,Navrátil,adam.navratil@datacorp.cz,Obchod,Account Manager,2021-04-05,61500.0,5,VŠ PhD.,Hradec Králové,29,M,Plný,+420 606 169 863
591,Lenka,Černá,lenka.cerna@datacorp.cz,HR,HR Specialist,2022-11-09,57000.0,2,VŠ Bc.,Praha,28,Ž,Plný,+420 778 544 493
66,Dominik,Čermák,dominik.cermak@datacorp.cz,Vývoj,Data Engineer,2021-04-21,74500.0,4,VŠ Bc.,Praha,33,M,Plný,630199735
632,Dominik,Král,dominik.kral@datacorp.cz,Finance,Účetní,2021-10-24,58000.0,4,VŠ Mgr.,Praha,25,M,Plný,+420 683 692 277
67,Barbora,Dvořáková,barbora.dvorakova@datacorp.cz,Vývoj,Tech Lead,2023-06-18,79000.0,5,SŠ,Ostrava,22,Ž,Plný,+420 632 995 869
318,Martina,Křížová,martina.krizova@datacorp.cz,Marketing,SEO Specialist,2023-12-22,,4,SŠ,Pardubice,30,Ž,Částečný,+420 662 956 314
528,Karel,Kolář,karel.kolar@datacorp.cz,HR,HR Specialist,2024-08-07,57500.0,4,VŠ PhD.,Zlín,24,M,Částečný,+420 763 421 836
448,Marie,Benešová,marie.benesova@datacorp.cz,Obchod,Account Manager,10.10.2021,58000.0,4,VŠ Mgr.,Praha,22,Ž,Částečný,616472566
302,Monika,Benešová,monika.benesova@datacorp.cz,Marketing,SEO Specialist,2022-10-16,36000.0,3,VŠ Bc.,Praha,31,Ž,Částečný,+420 656 874 549
259,Marek,Vaněk,marek.vanek@datacorp.cz,Marketing,Content Manager,2024-01-11,29000.0,2,SŠ,Praha,22,M,Plný,+420 762 697 355
336,Jan,Veselý,jan.vesely@datacorp.cz,Marketing,SEO Specialist,2021-08-21,55500.0,3,VŠ Bc.,Olomouc,29,M,Plný,+420 728 473 113
