employee_id,jmeno,prijmeni,email,oddeleni,pozice,datum_nastupu,plat,hodnoceni_vykonu,vzdelani,mesto,vek,pohlavi,typ_uvazku,telefon
0,Marek,Král,marek.kral@datacorp.cz,Vývoj,DevOps Engineer,2019-12-03,57500,4,SŠ,Hradec Králové,36,M,Plný,+420 767 505 550
1,Filip,Blažek,filip.blazek@datacorp.cz,Vývoj,DevOps Engineer,2019-03-03,71500,5,VŠ Mgr.,Praha,35,M,Plný,+420 726 730 419
2,Ondřej,Malý,ondrej.maly@datacorp.cz,Vývoj,Data Engineer,2022-04-11,83500,4,VŠ Mgr.,České Budějovice,28,M,DPP,+420 682 393 914
3,Filip,Blažek,filip.blazek@datacorp.cz,Vývoj,Software Developer,2021-08-25,89000,4,VŠ Mgr.,České Budějovice,27,M,Plný,+420 766 857 448
4,Tereza,Navrátilová,tereza.navratilova@datacorp.cz,Vývoj,Tech Lead,2020-12-21,75000,4,SŠ,Olomouc,34,Ž,Plný,+420 711 513 555
5,Veronika,Horáková,veronika.horakova@datacorp.cz,Vývoj,Software Developer,2023-02-25,77500,4,VŠ Mgr.,Praha,33,Ž,Plný,+420 711 642 127
6,Kristýna,Veselá,kristyna.vesela@datacorp.cz,Vývoj,Tech Lead,2021-10-20,82500,4,VŠ Mgr.,Olomouc,25,Ž,Plný,+420 701 805 996
7,Hana,Jelínková,hana.jelinkova@datacorp.cz,Vývoj,Data Engineer,2022-09-29,54500,4,SŠ,České Budějovice,28,Ž,Plný,+420 632 944 237
8,Michal,Král,michal.kral@datacorp.cz,Vývoj,QA Engineer,2021-08-13,58000,3,VŠ Mgr.,Zlín,29,M,Částečný,+420 699 729 511
9,David,Němec,david.nemec@datacorp.cz,Vývoj,DevOps Engineer,2019-12-12,75000,4,VŠ Mgr.,Olomouc,28,M,Plný,+420 640 827 621
10,Lenka,Kopecká,lenka.kopecka@datacorp.cz,Vývoj,DevOps Engineer,2021-04-11,98500,3,VŠ Mgr.,Praha,29,Ž,Plný,+420 757 137 261
11,Lenka,Navrátilová,lenka.navratilova@datacorp.cz,Vývoj,Software Developer,2018-06-30,64500,4,VŠ Bc.,Ostrava,29,Ž,Plný,+420 669 365 120
